"What is 
    Digital Innovation & Design
?","## Engage your customer more effectively and elevate their experience through
Digital Innovation & Design tools.
The impact of social media in today's world and particularly, how it
influences our decision-making is undeniable. As customers get savvy so does
the need for businesses and organisations to keep up with current innovations
and available technological tools to remain competitive while enhancing growth
opportunities.
Similarly, innovative and strategic design thinking is an equally crucial tool
in any business and organisation depository to help them remain relevant,
competitive and most importantly, to succeed. Digital innovation & design is a
core specialisation that is increasingly becoming an essential proficiency.
The potential opportunities that accompanies the understanding and skill of
this area is abundant.
ISS provides a comprehensive suite of training, consulting and research
services that will equip businesses and organisations with relevant social
business knowledge, skills and tools. The contents of these training sessions
also include innovative and design thinking courses, seminars and conferences
suited for all levels and industries. These will equip them with the necessary
knowledge and competency to elevate their respective businesses and
organisations efficacy in today's technology-driven environment.
"
"Can you give me an overview of 
     Innovation Bootcamp 
?","In today’s fast moving and competitive world, it is essential for organisation
to be equipped with the mindset and toolset to continuously innovate.
This course will introduce to participants a Human Centre Design (Design
Thinking) innovation framework that embraces ‘User centred innovation’,
‘Design Thinking’, ‘Ethnographic Research’, and ‘Customer Experience Design’.
These are some of the concepts that form the basis of the innovation. This
course has been designed to create an awareness and expose participants to the
skills needed for:
  * Engaging users to understand their needs
  * Identifying and communicating opportunities for improvement
  * Validating the desirability of new products/process/services early in the development 
This high energy, fun, one-day workshop provides teams with an overview of
innovation & service design, an understanding of where they can contribute and
how they can contribute, and sets them on the journey to being more innovative
in delivering their services.  
  
Due to its flexible nature, the course can be contextualised for individual
organisations, sectors or focused on specific technologies. For example, we
have run the innovation bootcamp for Financial Services, Healthcare and
Government as well as for specific technologies.
This course is part of the Digital Innovation & Design series and Digital
Strategy & Leadership series offered by NUS-ISS.
"
"What is the 
     Innovation Bootcamp 
 course key takeaway?","At the end of the course, participants will be able to:
  * Understand the importance of service innovation & design
  * Be able to think about employing some of the techniques in their own organisations
  * Identify opportunities to improve service delivery and/or user experience in their own organisation
  
* * *
  
"
"What will be covered in this 
     Innovation Bootcamp 
 course?","Using a familiar innovation framework the workshop rapidly takes participants
through a hands on learning experience that covers the key components of any
innovation process such as:
  * Understanding user and customer experience
  * Idea generation
  * Design & prototyping
  * Delivery of innovation
  
Participants will work on real innovation challenges through the day will see
their ideas and contributions brought to life.  
  
****
**Format**
Lectures followed by workshops
  
* * *
  
"
"What are the 
     Innovation Bootcamp 
 course fees?","#### Self-sponsored
|
International Participants ****
|
S'poreans and PRs  
(aged 21 and above)
|
SkillsFuture Mid-Career Enhanced Subsidy1  
(S'poreans aged 40 and above)
|
Workfare Training Support2  
(S'poreans aged 35 and above, and earn ≤ $2,000 per month) ****  
  
---|---|---|---|---  
  
Full course fee
|
S$900
|
S$900
|
S$900
|
S$900  
  
SSG grant
|
-
|
(S$630)
|
(S$630)
|
(S$630)  
  
Nett course fee
|
S$900
|
S$270
|
S$270
|
S$270  
  
7% GST on nett course fee
|
S$63
|
S$18.90
|
S$18.90
|
S$18.90  
  
Total nett course fee payable, including GST
|
S$963
|
S$288.90
|
S$288.90
|
S$288.90  
  
Less additional funding if eligible under various schemes
|
-
|
-
|
(S$180)
|
(S$225)  
  
**Total nett course fee payable, including GST** , after additional funding
from the various funding schemes
|
**S$963**
|
**S$288.90**
|
**S$108.90**
|
**S$63.90**  
  
  
Singaporeans aged 25 and above can use their SkillsFuture Credit to pay for
course fees, apart from government subsidies. For more information, click
here.  
  
#### Company-sponsored
|
International Participants ****
|
S'poreans and PRs  
(aged 21 and above)
|
SkillsFuture Mid-Career Enhanced Subsidy1  
(S'poreans aged 40 and above)
|
Workfare Training Support2  
(S'poreans aged 35 and above, and earn ≤ $2,000 per month) ****
|
Enhanced Training Support for SMEs3 ****
|
Notes ****  
  
---|---|---|---|---|---|---  
  
Full course fee
|
S$900
|
S$900
|
S$900
|
S$900
|
S$900
|  
  
SSG grant
|
-
|
(S$630)
|
(S$630)
|
(S$630)
|
(S$630)
|  
  
Nett course fee
|
S$900
|
S$270
|
S$270
|
S$270
|
S$270
|  
  
7% GST on nett course fee
|
S$63
|
S$18.90
|
S$18.90
|
S$18.90
|
S$18.90
|  
  
**Total nett course fee payable, including GST**
|
**S$963**
|
**S$288.90**
|
**S$288.90**
|
**S$288.90**
|
**S$288.90**
|
**Fee payable to NUS-ISS**  
  
Less additional funding if eligible under various schemes#  
(company needs to submit training grant and claim via Skillsconnect)
|
-
|
-
|
(S$180)
|
(S$225)
|
(S$180)
|  
  
Total nett course fee payable, including GST, after additional funding from
the various funding schemes
|
-
|
-
|
S$108.90
|
S$63.90
|
S$108.90
|
Actual financial outlay by company  
  
### Various Funding Schemes
**1** **Mid-Career Enhanced Subsidy**
  * Singaporeans aged 40 and above may enjoy subsidies up to 90% of the course fees.
**  
2** **Workfare Training Support (WTS)**
  * Singaporeans aged 35 and above (13 years and above for Persons With Disabilities) and earn not more than $2,000 per month, may enjoy subsidies up to 95% of the course fees.
**  
3** **Enhanced Training Support**   **for**   **SMEs (ETSS)**
  * SME-sponsored employees (Singaporean Citizens and PRs) may enjoy subsidies up to 90% of the course fees. For more details, click on Enhanced Training Support for SMEs.
  
Course attendee is eligible for only one funding scheme.
#For company-sponsored participants, companies would need to pay upfront 30%
of the course fee to NUS-ISS and submit a training grant application for the
remaining eligible subsidies, and subsequently a claim in Skillsconnect. For
details, please refer to Skillsconnect guide 4.1 & 5.1.
This course is aligned to the National Infocomm Competency Framework (NICF)
and accredited by SSG. Absentee payroll and up to 70% SSG funding of the
course fee is available for eligible participants (Singapore Citizens and
Permanent Residents). Absentee payroll subsidy will be capped at 6.5 hours and
is available for eligible companies and companies on a short work week system
will receive the absentee payroll subsidy based on their employees' current
income. Please visit www.ssg.gov.sg for full details.
  
* * *
  
"
"What are the certs obtained from 
     Innovation Bootcamp 
 course?","**Certificate of Attendance**
The ISS Certificate of Completion will be issued to participants who have
attended at least 75% of the course.
**WSQ Assessment**
  * Participants will be assessed throughout the duration of the course.
  * Assessment Method - 
    * Group assessments
    * Individual written assessment (open-book)
  * Passing Criteria -
    * Group Assessment - Participants are to make active contribution to the group discussions and exercises, and achieve objectives in the workshops.
    * Individual Assessment - Participants are to answer all questions accurately in the individual written assessment.
Upon passing the assessment, Statement of Attainment (SOAs) will be issued to
certify that the participant has passed the following Competency Standard(s):
  * ICT-SNA-4003-1.1 Business Innovation
Participants may need to attend additional coaching sessions and re-
assessments if they do not pass the required competency units. ISS reserves
the right not to disclose any information on the course assessment process.
  
* * *
  
"
"Can you give me an overview of 
     Strategic Design & Innovation 
?","Organisational Innovation is the key to driving higher value, productivity and
continued living standards in the economy.
Increasingly most design and innovation initiatives incorporate a technology
element and so it’s critical that managers and leaders from across the
organisation know how to structure and deliver these projects.
This course will **provide organisational leaders and senior managers** the
framework necessary for strategic management of design and innovation within
their organisation. The course will impress upon participants the power of
strategic human centred design thinking to innovate and will also discuss the
adoption of this in addressing systemic issues in fields such as healthcare,
education etc.
Over 2 days, this course will provide attendees with an understanding of how
to use a range of tools and techniques aiding the design, delivery, and
governance of Digital innovation and design strategies.
This course is part of the Digital Innovation & Design series offered by NUS-
ISS.
"
"What is the 
     Strategic Design & Innovation 
 course key takeaway?","At the end of the course, the participants will be able to:
  * Understand the core principles and practices of Human Centred Design & Innovation
  * Understand the role of managers and leaders in delivering innovation
  * Apply key concepts in digital, business and service innovation 
  * Engage staff, partners, and the other key stakeholders in Design & Innovation activities
  * Uncover and evaluate innovation opportunities for their organisations
  * Scope and deliver effective innovation and design projects for their organisaiton
  * Develop and deliver effective innovation and design strategies, action plans and financing models.
  * Communicate the objectives and performance of design & innovation strategies across the organisation
  
* * *
  
"
"Who should attend 
     Strategic Design & Innovation 
 course ?","This is an intermediate course, suitable for professionals with several years
of experience, with an interest or requirement to understand digital marketing
and social engagement.
It is applicable for professionals engaged in the following areas.
  * Innovation & Design Strategists
  * Digital Transformation Lead
  * Chief Innovation Officers
  * Quality & Process Improvement Managers
  * Product and Service Managers
  * Project Managers
  * Marketing Managers 
"
"What are the 
     Strategic Design & Innovation 
 course pre-requsites?","This is an intensive, intermediate course.  Participants with some years of
experience working with different functional teams in an organization will
benefit more from the course.
  
* * *
  
"
